Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Communications Manager,98%,365,2546,0.143362137,Communication & PR
Data Collector,95%,299,2148,0.139199255,Data & IT
Data Entry,95%,325,2278,0.142669008,Administrative & Clerical
Mail Clerk,95%,193,1366,0.141288433,Leadership & Strategy
Compliance Officer,92%,194,1369,0.141709277,Medical & Healthcare
Chief Executive Officer (CEO),91%,153,1135,0.134801762,Supply Chain & Logistics
Therapist,90%,114,983,0.115971516,Law Enforcement
Chief Strategy Officer,90%,184,1284,0.143302181,Construction
Admin,90%,253,2014,0.125620655,Sales & Marketing
General Clerk,90%,242,1903,0.12716763,Hospitality
Mail Handler,90%,188,1350,0.139259259,Communication & PR
Data Clerk,90%,317,2258,0.140389725,Data & IT
Data Entry Clerk,90%,328,2305,0.142299349,Administrative & Clerical
Data Entry Operator,90%,329,2311,0.142362614,Leadership & Strategy
Data Entry Specialist,90%,334,2358,0.141645462,Medical & Healthcare
Medical Transcriptionist,90%,189,1265,0.149407115,Supply Chain & Logistics
Street Sweeper,90%,3,82,0.036585366,Law Enforcement
Supply Clerk,90%,115,901,0.12763596,Construction
Warehouse Worker,90%,68,607,0.112026359,Sales & Marketing
Web Search Evaluator,90%,243,1599,0.151969981,Hospitality
Development Manager,89%,217,1558,0.13928113,Communication & PR
Delivery Driver,88%,20,309,0.064724919,Data & IT
Chief Security Officer,88%,142,1116,0.127240143,Administrative & Clerical
File Clerk,88%,228,1797,0.12687813,Leadership & Strategy
Mail Processing,88%,189,1336,0.141467066,Medical & Healthcare
Director Of Operations,87%,198,1397,0.141732283,Supply Chain & Logistics
Direct Support Professional,86%,117,1018,0.114931238,Law Enforcement
Chief Communications Officer,85%,284,2118,0.134088763,Construction
Administrative Clerk,85%,270,2070,0.130434783,Sales & Marketing
Executive Assistant,85%,276,2112,0.130681818,Hospitality
General Office Clerk,85%,245,1912,0.128138075,Communication & PR
Transcriber,85%,205,1359,0.15084621,Data & IT
Sql Programmer,85%,179,1665,0.107507508,Administrative & Clerical
Vba Developer,85%,191,1672,0.11423445,Leadership & Strategy
Medical Scribe,85%,202,1696,0.119103774,Medical & Healthcare
Special Agent,85%,45,462,0.097402597,Supply Chain & Logistics
Purchasing Clerk,85%,180,1306,0.137825421,Law Enforcement
Bricklayer,85%,3,30,0.1,Construction
Telemarketer,85%,179,1281,0.139734582,Sales & Marketing
Bakery Manager,84%,97,804,0.120646766,Hospitality
Banquet Manager,83%,99,802,0.123441397,Communication & PR
Clerk Typist,83%,263,1986,0.132426989,Data & IT
Assistant,82%,240,1600,0.15,Administrative & Clerical
Business Relationship Manager,82%,194,1467,0.132242672,Leadership & Strategy
Distribution Manager,80%,198,1436,0.137883008,Medical & Healthcare
Administrative Assistant,80%,286,2155,0.132714617,Supply Chain & Logistics
Administrative Secretary,80%,268,2076,0.129094412,Law Enforcement
Clerical Assistant,80%,265,2004,0.132235529,Construction
Executive Administrative Assistant,80%,279,2124,0.131355932,Sales & Marketing
Order Filler,80%,133,1021,0.130264447,Hospitality
Records Clerk,80%,222,1784,0.124439462,Communication & PR
Scribe,80%,202,1623,0.124460875,Data & IT
Typist,80%,208,1364,0.152492669,Administrative & Clerical
Dishwasher,80%,3,31,0.096774194,Leadership & Strategy
Digital Project Manager,80%,231,1922,0.120187305,Medical & Healthcare
Technical Project Manager,80%,205,1521,0.13477975,Supply Chain & Logistics
Grocer,80%,50,377,0.132625995,Law Enforcement
Finance Officer,80%,167,1516,0.110158311,Construction
Word Processor,80%,264,1707,0.154657293,Sales & Marketing
Market Research Interviewer,80%,210,1825,0.115068493,Hospitality
Pl Sql Developer,80%,183,1686,0.108540925,Communication & PR
Quantitative Developer,80%,182,1667,0.109178164,Data & IT
Statistical Programmer,80%,187,1669,0.11204314,Administrative & Clerical
Tableau Developer,80%,188,1668,0.112709832,Leadership & Strategy
Data Modeler,80%,216,1767,0.122241087,Medical & Healthcare
Database Analyst,80%,218,1773,0.122955443,Supply Chain & Logistics
Database Developer,80%,205,1726,0.118771727,Law Enforcement
Etl Developer,80%,184,1670,0.110179641,Construction
Hadoop Developer,80%,181,1643,0.110164334,Sales & Marketing
Sql Analyst,80%,212,1761,0.120386144,Hospitality
Procurement Assistant,80%,179,1316,0.136018237,Communication & PR
Receiving Associate,80%,92,733,0.125511596,Data & IT
Warehouse Associate,80%,78,664,0.11746988,Administrative & Clerical
Press Operator,80%,84,1077,0.077994429,Leadership & Strategy
Pressman,80%,83,1068,0.077715356,Medical & Healthcare
Printing Press Operator,80%,93,1065,0.087323944,Supply Chain & Logistics
Automation Test Engineer,80%,159,1547,0.102779573,Law Enforcement
Automation Tester,80%,158,1541,0.102530824,Construction
QA Automation Engineer,80%,155,1525,0.101639344,Sales & Marketing
Tax Preparer,80%,153,1263,0.121140143,Hospitality
Associate,79%,175,1298,0.134822804,Communication & PR
Chief Learning Officer,79%,162,1250,0.1296,Data & IT
Web Project Manager,78%,217,1845,0.117615176,Administrative & Clerical
Medical Coding Specialist,78%,171,1250,0.1368,Leadership & Strategy
Front Desk,77%,215,1779,0.120854413,Medical & Healthcare
Credit Manager,76%,151,1094,0.138025594,Supply Chain & Logistics
Advertising Manager,75%,195,1370,0.142335766,Law Enforcement
Caller,75%,131,1085,0.120737327,Construction
Phone Sales,75%,11,54,0.203703704,Sales & Marketing
Telesales Representative,75%,145,1049,0.138226883,Hospitality
Accounting Clerk,75%,145,1299,0.111624326,Communication & PR
Administrative Associate,75%,281,2139,0.131369799,Data & IT
Administrative Coordinator,75%,281,2128,0.132048872,Administrative & Clerical
Corporate Receptionist,75%,15,58,0.25862069,Leadership & Strategy
Desk Receptionist,75%,14,56,0.25,Medical & Healthcare
Executive Secretary,75%,159,1176,0.135204082,Supply Chain & Logistics
Front Desk Clerk,75%,223,1801,0.1238201,Law Enforcement
Front Desk Receptionist,75%,225,1803,0.124792013,Construction
Front Office Receptionist,75%,226,1812,0.124724062,Sales & Marketing
Mail Sorter,75%,136,1219,0.111566858,Hospitality
Order Clerk,75%,151,1336,0.113023952,Communication & PR
Medical Coder,75%,109,773,0.141009056,Data & IT
Purchasing Assistant,75%,163,1417,0.115031757,Administrative & Clerical
Supply Technician,75%,121,979,0.123595506,Leadership & Strategy
Android Developer,75%,147,1393,0.105527638,Medical & Healthcare
Ios Developer,75%,148,1394,0.106169297,Supply Chain & Logistics
Chief Of Staff,75%,180,1405,0.128113879,Law Enforcement
Intelligence Analyst,75%,169,1185,0.142616034,Construction
Photo Retoucher,75%,193,1464,0.131830601,Sales & Marketing
Full Charge Bookkeeper,75%,123,858,0.143356643,Hospitality
Grant Accountant,75%,128,886,0.144469526,Communication & PR
Epic Analyst,75%,114,798,0.142857143,Data & IT
It Project Manager,75%,221,1840,0.120108696,Administrative & Clerical
Software Project Manager,75%,175,1442,0.121359223,Leadership & Strategy
Technology Project Manager,75%,175,1443,0.121275121,Medical & Healthcare
Cobol Developer,75%,130,929,0.139935414,Supply Chain & Logistics
Quantitative Analyst,75%,8,46,0.173913043,Law Enforcement
Quantitative Research Analyst,75%,168,1096,0.153284672,Construction
Report Developer,75%,146,969,0.150670795,Sales & Marketing
Sas Developer,75%,133,932,0.142703863,Hospitality
Statistical Analyst,75%,166,1087,0.152713891,Communication & PR
Backend Developer,75%,144,1012,0.14229249,Data & IT
Data Architect,75%,162,1081,0.14986124,Administrative & Clerical
Database Designer,75%,162,1081,0.14986124,Leadership & Strategy
Database Engineer,75%,12,55,0.218181818,Medical & Healthcare
Gis Developer,75%,9,48,0.1875,Supply Chain & Logistics
Informatica Developer,75%,131,925,0.141621622,Law Enforcement
Ui Developer,75%,152,1088,0.139705882,Construction
Ux Developer,75%,9,48,0.1875,Sales & Marketing
Stenographer,75%,8,49,0.163265306,Hospitality
Allocation Analyst,74%,155,1102,0.140653358,Communication & PR
Business Operations Manager,71%,163,1330,0.122556391,Data & IT
Ecommerce,70%,161,1513,0.106411104,Administrative & Clerical
Solar Sales,70%,128,1153,0.111014744,Leadership & Strategy
Developer,70%,139,992,0.140120968,Medical & Healthcare
Javascript Developer,70%,150,1039,0.144369586,Supply Chain & Logistics
Perl Developer,70%,129,927,0.139158576,Law Enforcement
Pega Developer,70%,132,932,0.141630901,Construction
Sap Developer,70%,131,929,0.141011841,Sales & Marketing
Clinical Informatics Specialist,70%,140,996,0.140562249,Hospitality
Cloud Engineer,70%,152,1013,0.150049358,Communication & PR
Data Scientist,70%,180,1091,0.164986251,Data & IT
Database Programmer,70%,160,1022,0.156555773,Administrative & Clerical
Information Assurance,70%,8,46,0.173913043,Leadership & Strategy
Oracle Developer,70%,8,46,0.173913043,Medical & Healthcare
Sql Database Developer,70%,10,49,0.204081633,Supply Chain & Logistics
Sql Developer,70%,10,49,0.204081633,Law Enforcement
Sql Server Developer,70%,10,49,0.204081633,Construction
Teradata Developer,70%,8,46,0.173913043,Sales & Marketing
Net Developer,70%,8,46,0.173913043,Hospitality
Sports Analyst,70%,9,50,0.18,Communication & PR
Chief Of Police,70%,122,1047,0.1165234,Data & IT
Emergency Dispatcher,70%,156,1015,0.153694581,Administrative & Clerical
Investigative Analyst,70%,194,1175,0.165106383,Leadership & Strategy
Police Dispatcher,70%,164,1039,0.157844081,Medical & Healthcare
Polygraph Examiner,70%,101,770,0.131168831,Supply Chain & Logistics
